Shortest distances from landmark node 13304:
To node 21367: 2
To node 635: 2
To node 51706: 4
To node 39880: 4
To node 41707: 4
To node 26375: 3
To node 33932: 3
To node 12119: 4
To node 31644: 3
To node 53753: 5
To node 41587: 4
To node 48937: 4
To node 7660: 2
To node 16465: 3
To node 30759: 3
To node 10970: 3
To node 1541: 2
To node 52405: 5
To node 58096: 7
To node 21708: 3
To node 51081: 4
To node 17533: 3
To node 19426: 3
To node 47074: 4
To node 52592: 4
To node 26615: 3
To node 46167: 4
To node 42083: 4
To node 21595: 3
To node 30614: 4
To node 3076: 2
To node 23500: 3
To node 46118: 5
To node 16604: 3
To node 38410: 4
To node 20208: 3
To node 37536: 3
To node 12711: 4
To node 32700: 3
To node 41748: 4
To node 55911: 5
To node 45689: 4
To node 50890: 4
To node 30472: 4
To node 11348: 3
To node 5319: 2
To node 10452: 3
To node 11871: 3
To node 18307: 2
To node 33361: 3
To node 33496: 3
To node 6187: 2
To node 54570: 5
To node 30658: 3
To node 47525: 4
To node 20029: 3
To node 21743: 3
To node 47850: 4
To node 53307: 4
To node 23335: 3
To node 17211: 3
To node 25074: 3
To node 31334: 3
To node 650: 2
To node 24692: 3
To node 46415: 4
To node 5378: 2
To node 46508: 4
To node 23651: 3
To node 47696: 4
To node 51193: 4
To node 48905: 4
To node 55575: 5
To node 34425: 3
To node 46883: 3
To node 41: 1
To node 35545: 3
To node 42745: 4
To node 42813: 4
To node 13403: 3
To node 55532:No path exists
To node 26064: 3
To node 16730: 3
To node 25219: 3
To node 5664: 2
To node 45368: 4
To node 25287: 3
To node 52359: 4
To node 12653: 3
To node 12360: 3
To node 40215: 4
To node 28501: 3
To node 34832: 3
To node 9617: 3
To node 22745: 3
To node 24743: 3
To node 34185: 3
To node 54961: 5
To node 43647: 4
To node 2472: 2
To node 15300: 3
To node 32576: 3
To node 38725: 4
To node 34995: 3
To node 4570: 2
To node 47372: 3
To node 6815: 3
To node 26274: 3
To node 10351: 3
To node 25148: 3
To node 9462: 3
To node 35483: 3
To node 22661: 3
To node 33155: 3
To node 24: 1
To node 38815: 3
To node 39396: 4
To node 11743: 3
To node 29162: 3
To node 16613: 3
To node 41263: 4
To node 9398: 3
To node 25217: 3
To node 48514: 4
To node 7543: 3
To node 4614: 2
To node 4283: 2
To node 3623: 3
To node 16649: 3
To node 37607: 3
To node 6443: 2
To node 29856: 3
To node 23624: 3
To node 28071: 3
To node 3891: 3
To node 33384: 3
To node 34299: 3
To node 14464: 3
To node 33539: 3
To node 13761: 3
To node 10016: 3
To node 57843: 6
To node 23107: 3
To node 3742: 2
To node 50795: 4
To node 53148: 4
To node 18663: 3
To node 42786: 4
To node 5388: 2
To node 40344: 4
To node 2721: 2
To node 51052: 4
To node 45448: 4
To node 44959: 4
To node 13936: 2
To node 38984: 4
To node 10864: 3
To node 44727: 4
To node 32694: 3
To node 26719:No path exists
To node 47640: 4
To node 47304: 4
To node 11473: 3
To node 31911: 3
To node 23872: 3
To node 31560: 3
To node 35384: 3
To node 20900: 2
To node 40638: 3
To node 25656: 3
To node 15782: 3
To node 13962: 2
To node 10773: 3
To node 52812: 4
To node 44177: 4
To node 54715:No path exists
To node 4652: 2
To node 29474: 3
To node 45742: 4
To node 19977: 4
To node 3966: 3
To node 12601:No path exists
To node 56927: 5
To node 29383: 3
To node 24783: 3
To node 14557: 3
To node 9419: 3
To node 29553: 3
To node 689: 2
To node 39313: 3
To node 25310: 3
To node 14927: 4
To node 46450: 3
To node 49623: 4
To node 12295: 3
To node 8030: 3
To node 21571: 3
To node 30719: 3
To node 25601: 3
To node 20251: 5
To node 22577: 3
To node 38303: 4
To node 29921: 5
To node 11392: 3
To node 50701: 4
To node 8996: 3
To node 34838: 3
To node 13887: 3
To node 53474: 4
To node 1869: 2
To node 36543: 4
To node 25240: 3
To node 24086: 3
To node 56813: 5
To node 27958: 3
To node 38796: 4
To node 48486: 4
To node 14293: 3
To node 55010: 5
To node 52146: 4
To node 30049: 4
To node 25515: 3
To node 37310: 3
To node 11161: 3
To node 52535: 4
To node 16379: 3
To node 47641: 4
To node 5800: 2
To node 27185: 3
To node 15282: 3
To node 20916: 3
To node 47559: 3
To node 25752: 3
To node 9902: 3
To node 43935: 4
To node 54067: 4
To node 30638: 4
To node 25256: 3
To node 51852: 4
To node 17445: 3
To node 10542: 3
To node 42495: 4
To node 19745: 4
To node 38458: 4
To node 38098: 3
To node 19482: 3
To node 25146: 3
To node 49274: 4
To node 28272: 3
To node 15350: 3
To node 56200: 4
To node 33194: 5
To node 2028: 2
To node 51767: 4
To node 2067: 2
To node 45533: 4
To node 10002: 3
To node 15970: 3
To node 50628: 4
To node 49482: 4
To node 9271: 3
To node 53382: 4
To node 3004: 2
To node 32268: 3
To node 52740: 4
To node 24654: 3
To node 33252: 3
To node 41100: 4
To node 53504: 5
To node 29779: 3
To node 15230: 3
To node 52951: 4
To node 20037: 3
To node 41313: 5
To node 54143: 4
To node 42707: 3
To node 28603: 3
To node 80: 1
To node 32269: 3
To node 43236: 4
To node 30488: 3
To node 12937: 3
To node 46181: 4
To node 25413: 3
To node 25519: 3
To node 16625: 3
To node 36735: 4
To node 31725: 3
To node 9894: 3
To node 33760: 3
To node 47130: 4
To node 55488: 5
To node 9715: 3
To node 10931: 3
To node 31944: 3
To node 51829: 4
To node 9470: 3
To node 56334: 5
To node 15454: 3
To node 35761: 5
To node 35728: 4
To node 27013: 3
To node 28077: 3
To node 3356: 2
To node 39402: 3
To node 20586: 3
To node 23567: 3
To node 49055: 4
To node 53711: 5
To node 22894: 3
To node 54577: 4
To node 54134: 4
To node 27772: 4
To node 47440: 4
To node 52071: 5
To node 51560: 4
To node 23467: 3
To node 11722: 3
To node 45121: 3
To node 921: 1
To node 22952: 3
To node 41996: 4
To node 24578: 3
To node 22530: 3
To node 31484: 3
To node 2250: 2
To node 52585: 4
To node 22670: 3
To node 19420: 3
To node 36307: 3
To node 6869: 2
To node 6120: 3
